CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3128709,1851278.821,1914079.723,35527.73,36602.28,0.033922984094896,0.030245388602086,51917
3131307,8480350.185,9662783.325,32701.76,36993.39,0.139432112378034,0.131235444208508,263410
3131703,3726627.303,5220378.287,31453.37,43763.91,0.400831868214325,0.391390175361178,120060
3132404,2643850.976,3010825.869,27390.89,31039.44,0.138803168685102,0.133203046706405,96869
3133808,2620157.168,3028868.153,28451.83,32675.28,0.155987201833383,0.148442121297646,93214
3134202,2868377.606,2895226.172,27595.15,27698.62,0.009360192306563,0.003749571935648,104671
3135100,1025151.851,1096608.648,14382.24,15304.43,0.06970362188811,0.064120053621689,71648
3135209,636623.982,676244.231,9304.65,9860.09,0.062234930068971,0.059694883740925,67742
3136207,2318454.573,2589634.374,29310.42,32537.18,0.116965759932532,0.110089176477171,79910
3136306,1333217.269,1461889.363,27504.89,29986.86,0.096512471741768,0.090237408693509,47452
3136702,14524863.106,15985711.931,25954.13,28355.07,0.100575737914979,0.092507049937717,568873
3138203,2273630.95,2485867.581,22464.93,24341.66,0.09334700119208,0.083540433911879,103773
3138401,981166.986,1038714.63,18424.98,19468.36,0.058652242504213,0.056628555363425,52587
3139409,2076763.597,2385009.739,23670.87,26924.92,0.148426206259239,0.13747065485975,90229
3143104,1038071.233,1091758.532,21583.32,22628.06,0.051718318833328,0.048404971987628,47809
3143302,8770318.907,8966059.286,22020.04,22302.13,0.022318501878395,0.012810603432146,409341
3143906,2037368.111,2100137.983,18879.2,19349.51,0.030809293451241,0.024911542861985,108763
3144805,7848285.064,9112333.295,86179.55,98855.84,0.161060438132934,0.147091624405094,94889
3145604,777608.978,848004.592,18630.27,20235.39,0.090528293771834,0.08615656133808,41687
3146107,3045879.576,4644423.449,40963.47,62208.49,0.524821757759474,0.518633309141047,74281
3147006,3317454.421,3510747.533,36167.79,38000.86,0.058265491388947,0.050682388943311,93158
3147105,2489336.713,2744669.263,27067.13,29595.63,0.102570515537968,0.09341588857038,93969
3147907,2300042.07,2387740.303,20210.02,20861.28,0.038128969093161,0.032224609376933,114679
3148004,4195264.947,4378966.367,27995.31,29020.34,0.043787799416903,0.036614347188868,152488
3148103,2545723.647,2707529.449,28497.01,30089.34,0.063559845622159,0.055877090263154,90757
3151800,6123489.539,6365939.962,37131.86,38329.41,0.039593506522033,0.032251279628869,167397
3152501,6825550.6,7388029.457,46899.72,50211.91,0.082407836372937,0.070622809688416,150737
3156700,2322490.724,2523965.668,17178.69,18562.94,0.086749515043488,0.080579485397315,136344
