StationID,RzSocial,Endereco,Bairro,Bandeira,PcVenda,PcCompra,ModCompra,Fornecedor,DtColeta,Cidade,Produto,UnidMedida,DtInicial,DtFinal,Estado,CodIBGE,Place,Lon,Lat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
12,AUTO POSTO EWAMARO LTDA,"AVENIDA CONDESSA ELIZABETH DE ROBIANO, S/N ESQ.C/R.ANT.MACEDO, 65",Vila Guilherme,IPIRANGA,3.469,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA CONDESSA ELIZABETH DE ROBIANO, S/N ESQ.C/R.ANT.MACEDO, 65, Vila Guilherme, SAO PAULO, SAO PAULO, BRAZIL",-46.5748378,-23.5268157,47178.55742232641,37474.10957787909,8532.154190187952,105824.5617429902,1005076.721433317,904520.4720366488,15682.005322781784,2676188.626893706
13,AUTO POSTO EUROPA GARDEN LTDA,"AVENIDA MARECHAL TITO, 7059",Cidade Nitro Operario,RAIZEN,3.479,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MARECHAL TITO, 7059, Cidade Nitro Operario, SAO PAULO, SAO PAULO, BRAZIL",-46.3822333,-23.4865303,49940.08991377694,37109.91455575755,6211.504006605256,114727.71412872877,1000205.8411311677,902786.5036380982,19860.19444666396,2683747.9091971833
14,COMPANHIA BRASILEIRA DE DISTRIBUICAO,"AVENIDA SAO MIGUEL, 6818 6838 PARTE",Vila Norma,IPIRANGA,3.479,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 6818 6838 PARTE, Vila Norma, SAO PAULO, SAO PAULO, BRAZIL",-46.4697808,-23.5017809,47368.19784120104,37506.96256449877,4853.685475433531,110046.73332392253,1002051.9046448177,903717.0328867788,15375.669600547846,2680014.793599558
15,TRI AUTO POSTO LTDA,"RUA VEREADOR CID GALVAO DA SILVA, 310",Penha de Franca,BRANCA,3.489,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA VEREADOR CID GALVAO DA SILVA, 310, Penha de Franca, SAO PAULO, SAO PAULO, BRAZIL",-46.5550674,-23.5270769,47044.879308100404,37695.07374651731,8947.172938574471,106990.41139066138,1004563.8116364861,904643.0267666504,14536.191815405864,2677358.366142311
16,AUTO POSTO 1090 LTDA,"AVENIDA PROF CELESTINO BOURROUL, 1078",Limao,BRANCA,3.489,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA PROF CELESTINO BOURROUL, 1078, Limao, SAO PAULO, SAO PAULO, BRAZIL",-46.6724521,-23.5041504,49468.84776952765,35395.38539536206,14244.05856631038,98727.9084169696,1007308.7563656226,902827.5502294172,24536.636086182894,2668476.4200090617
17,AUTO POSTO ESTADO DE SAO PAULO LTDA.,"AVENIDA ENGENHEIRO CAETANO ALVES, S/N",Limao,BRANCA,3.489,3.006,FOB,FERA,2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA ENGENHEIRO CAETANO ALVES, S/N, Limao, SAO PAULO, SAO PAULO, BRAZIL",-46.6704965,-23.5091512,49450.68250983709,35704.832081121414,13690.960563635039,99307.85366302832,1007375.727590144,903051.5826364097,24040.91313516465,2669046.2904114053
18,FUKUYA KANEMOTO & CIA LTDA,"AVENIDA OTAVIANO ALVES DE LIMA, 2888",Freguesia do Ó,RAIZEN,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA OTAVIANO ALVES DE LIMA, 2888, Freguesia do Ó, SAO PAULO, SAO PAULO, BRAZIL",-46.6851333,-23.5087667,49741.021733828056,35345.53302013548,13321.029424614082,98537.88199223261,1007809.6936310781,902905.4233948493,25273.18489256558,2668167.2543693464
19,POSTO DE SERVICO ITAIPAVA LTDA,"AVENIDA PROF FRANCISCO MORATO, 1070",Caxingui,BRANCA,3.499,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA PROF FRANCISCO MORATO, 1070, Caxingui, SAO PAULO, SAO PAULO, BRAZIL",-46.71092609999999,-23.5796499,52026.566747527344,38232.89857799254,13181.039448507709,104320.5951327295,1010552.4889973928,905444.4805474132,24237.670207473322,2673170.563282603
20,AUTO POSTO AVEIRO DA VILA ALBERTINA EIRELI,"AVENIDA SANTA MARINA, 2268",Vila Albertina,BRANCA,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SANTA MARINA, 2268, Vila Albertina, SAO PAULO, SAO PAULO, BRAZIL",-46.6934502,-23.5050124,50126.60992366372,35272.866852875755,12477.684797538257,97772.97365228094,1007968.6823391556,902675.5821707182,26207.46868316561,2667344.702135
21,AUTO POSTO NOVO MORRO GRANDE LTDA,"AVENIDA MIGUEL CONEJO, 1051",Freguesia do O,PETROBRAS DISTRIBUIDORA S.A.,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MIGUEL CONEJO, 1051, Freguesia do O, SAO PAULO, SAO PAULO, BRAZIL",-46.69230460000001,-23.4944582,50038.125998870695,34709.76197309423,12684.827904568225,96805.30438075507,1007667.2908142548,902250.9494150147,26799.093776034068,2666445.6557136886
